"Customers created: ","289"
"Customer ID","Arrival","Time to Check Out","Departure","Total Wait","Line Number"
"162","391","2","407","16","1"
"163","392","2","411","19","1"
"166","397","1","414","17","1"
"168","403","2","418","15","1"
"170","408","2","422","14","1"
"171","411","1","425","14","1"
"172","414","1","428","14","1"
"174","417","4","434","17","1"
"176","422","4","440","18","1"
"179","428","2","444","16","1"
"180","431","3","449","18","1"
"181","434","1","452","18","1"
"183","439","4","458","19","1"
"184","442","1","461","19","1"
"185","445","2","465","20","1"
"187","450","4","471","21","1"
"188","452","2","475","23","1"
"189","453","1","478","25","1"
"190","457","2","482","25","1"
"195","471","4","488","17","1"
"196","473","3","493","20","1"
"198","479","1","496","17","1"
"199","481","4","502","21","1"
"200","482","2","506","24","1"
"205","495","2","510","15","1"
"208","502","4","516","14","1"
"209","503","2","520","17","1"
"212","515","3","525","10","1"
"215","524","4","531","7","1"
"218","534","3","537","3","1"
"220","540","4","544","4","1"
"223","548","3","551","3","1"
"225","554","2","556","2","1"
"227","561","4","565","4","1"
"228","562","3","570","8","1"
"231","568","4","576","8","1"
"234","578","3","581","3","1"
"235","583","1","584","1","1"
"237","588","2","590","2","1"
"238","589","1","593","4","1"
"240","595","1","596","1","1"
"243","603","1","604","1","1"
"245","608","3","611","3","1"
"247","613","3","616","3","1"
"249","619","3","622","3","1"
"251","624","1","625","1","1"
"252","626","3","630","4","1"
"256","634","3","637","3","1"
"257","637","1","640","3","1"
"259","643","4","647","4","1"
"262","650","4","654","4","1"
"264","655","3","659","4","1"
"265","658","1","662","4","1"
"266","659","3","667","8","1"
"268","665","3","672","7","1"
"272","675","3","678","3","1"
"273","679","4","684","5","1"
"277","686","1","687","1","1"
"278","689","4","693","4","1"
"279","690","2","697","7","1"
"282","698","2","701","3","1"
"284","705","2","707","2","1"
"286","710","1","711","1","1"
"288","716","2","718","2","1"

